Date,UHI,NDVI,Population,Albedo,NO2_Total,NO2_Tropospheric,NO2_Stratospheric,Aerosol_Index,Cloud_Fraction,GHSL_Built
2020-09-03,0.8043429374560489,4395.0,7332.75341796875,0.12375,9.05016913854195e-05,4.561666592645908e-05,4.394428214195082e-05,-1.555724113561931,0.19180405802616066,13.0
2020-09-19,1.1661953619114627,4286.0,7332.75341796875,0.1296875,8.942104008926297e-05,4.539964759254553e-05,4.354569108545986e-05,-1.225980435334823,0.08646774249124786,13.0
2020-10-05,0.25249472944482676,4157.0,7332.75341796875,0.1275,0.00010148585397403779,6.080061029669797e-05,4.068524375793391e-05,-1.0475885493813677,0.02631079220375539,13.0
2020-10-21,-0.023541813071002338,3851.0,7332.75341796875,0.129375,9.554817501447806e-05,5.6443970381935655e-05,3.9104204357660626e-05,-0.6963387191095347,0.03881701648072334,13.0
2020-11-06,0.1922529866479259,4476.0,7332.75341796875,0.12787500000000002,9.897506545178423e-05,6.631556146141125e-05,3.561489293222769e-05,-1.0730944034932433,0.09159924734149132,13.0
2020-11-22,0.09475052705548492,3740.0,7332.75341796875,0.1265625,0.00010412166231301312,6.641326198965305e-05,3.733076891408185e-05,-1.234962927422412,0.11432035320196775,13.0
2020-12-08,-0.5963373155306044,3997.0,7332.75341796875,0.124125,0.00011415353285916031,7.810893068279543e-05,3.5552107926278335e-05,-1.2694602800963264,0.13390631215613977,13.0
2020-12-24,-0.9063443429374765,3960.0,7332.75341796875,0.1248125,0.00012265739284882804,9.398171431368172e-05,3.3677959535947764e-05,-1.247859068108061,0.1699108081409892,13.0
2021-01-09,-0.8209276177090921,2862.0,7332.75341796875,0.1131875,0.0001128239380943989,8.193053850256918e-05,3.549564823239742e-05,-1.0486407992488904,0.26681779455599813,13.0
2021-01-25,0.15578355586789883,3528.0,7332.75341796875,0.1159375,0.00011902553222948166,8.301430281037006e-05,3.761601062265226e-05,-1.1583673660494962,0.16953562412259945,13.0
2021-02-10,-0.08929866479269677,3431.0,7332.75341796875,0.12,0.00014604042893168466,0.00010257260827851117,4.341430733743391e-05,-1.0234849325210458,0.07407099413321988,13.0
2021-02-26,0.5709191848207986,3045.0,7332.75341796875,0.121125,9.657289285860713e-05,5.5623834353489496e-05,4.3199790135039426e-05,-1.12121220849087,0.051140865663070065,13.0
2021-03-14,0.7535333801826951,3116.0,7332.75341796875,0.1295,9.413519858411248e-05,4.8059553958624565e-05,4.5398487229937035e-05,-0.3854106543634491,0.13017785664235895,13.0
2021-03-30,-0.8009669711876484,3286.0,7332.75341796875,0.12725,9.81331643051272e-05,4.94484060362658e-05,5.280722865064325e-05,-0.6789199568833023,0.04838715559244192,13.0
2021-04-15,-0.8967505270555165,3434.0,7332.75341796875,0.1234375,0.00010132617737181676,5.536168868169435e-05,5.1763166951245694e-05,-0.9254109609301931,0.1949934463132021,13.0
2021-05-01,-0.23752213633169106,3818.0,7332.75341796875,0.1178125,0.00011274862241680043,6.456774152525633e-05,5.39960446959657e-05,-1.2791323166167987,0.18823015877281896,13.0
2021-05-17,-1.6182796907940684,3785.0,7332.75341796875,0.120625,0.00010628734966411691,5.016334023313205e-05,6.022352965044465e-05,-1.0653033173498294,0.09258270599672504,13.0
2021-06-02,1.0754476458187057,4011.0,7332.75341796875,0.128375,0.00011186838461583548,5.784450187330679e-05,5.5651517175475364e-05,-1.1252482717218133,0.17880275031801499,13.0
2021-06-18,0.9700252986647797,3740.0,7332.75341796875,0.128875,0.00011470558186159606,5.8523926552514857e-05,5.46257893679361e-05,-1.1551523252870375,0.11559004687079248,13.0
2021-07-04,0.2301335207308668,4102.0,7332.75341796875,0.1326153846153846,0.00011401301407849918,6.352789999132516e-05,5.247129093538171e-05,-0.7614113661334072,0.2351495421028004,13.0
2021-07-20,2.0570906535488547,5424.0,7332.75341796875,0.123,0.00010245419105583129,4.54611999885154e-05,4.918517603048109e-05,-0.5724259574969914,0.46773057707793,13.0
2021-08-05,1.6616950105411163,4369.0,7332.75341796875,0.128,0.00011271655039242503,7.71699679240494e-05,4.920234666175207e-05,-0.5346180665649851,0.2888615732152553,13.0
2021-08-21,0.7834139142656262,3653.0,7332.75341796875,0.13125,9.705421751211224e-05,5.009421903402034e-05,4.7116256577506157e-05,-0.6515365627380492,0.38653669982320377,13.0
2021-09-06,1.8589177793394036,5048.0,7332.75341796875,0.1211875,8.754958453691121e-05,5.393943787271149e-05,4.7466464650459936e-05,-0.7084554155929252,0.37722614320869813,13.0
2021-09-22,0.28192269852426577,4404.0,7332.75341796875,0.12737500000000002,9.843055933562117e-05,5.233745321272287e-05,4.47282133649133e-05,-0.4371389403205292,0.19165141090400203,13.0
2021-10-08,0.7892227687982967,4172.0,7332.75341796875,0.12975,0.00011731652964024332,7.123845271636818e-05,4.607807655878484e-05,0.3404425634508604,0.017587705277724013,13.0
2021-10-24,0.33941391426562006,4235.0,7332.75341796875,0.12725,0.00011127032053808654,6.384300798908093e-05,4.469266304967286e-05,0.3248711721923744,0.06201128184389189,13.0
2021-11-09,-0.5995235418130953,4187.0,7332.75341796875,0.1266875,0.00011888745353805224,8.115647846342103e-05,3.7730975848120646e-05,0.3732923112595729,0.008850218500965228,13.0
2021-11-25,-0.20823190442726158,4023.0,7332.75341796875,0.120875,0.00010807908525145355,7.42414905239687e-05,3.7242540994759705e-05,0.29413164681951387,0.057988627229054464,13.0
2021-12-11,-0.15514265635983193,3918.0,7332.75341796875,0.1245625,0.00013497054552488892,9.512405209561713e-05,3.984649279062606e-05,0.26349319204356747,0.04257931961846096,13.0
2021-12-27,0.6104670883110721,3690.0,7332.75341796875,0.12173333333333333,0.00011277744905495801,7.930231111243592e-05,3.9390313142563685e-05,-0.10657806534145192,0.19112290718139444,13.0
2022-01-12,-0.04137596626844697,3832.0,7332.75341796875,0.11785714285714287,0.0001174428347333679,8.185948152663529e-05,3.430700052760232e-05,-0.3775825415121414,0.48048087157243696,13.0
2022-01-28,0.6233675333802005,3909.0,7332.75341796875,0.11925000000000001,0.00010777846160831903,7.957518985437739e-05,3.758354845254804e-05,0.1768476271305755,0.1719091262433393,13.0
2022-02-13,0.5143330990864428,3345.0,7332.75341796875,0.122625,0.00012333295192623017,8.439244002980596e-05,4.2313418719731345e-05,0.10947003517698523,0.09828168811512905,13.0
2022-03-01,0.492362614195347,3537.0,7332.75341796875,0.12225,0.00011773588593099193,7.552596104972031e-05,4.487521563890545e-05,0.21594959181278814,0.11167482415999812,13.0
2022-03-17,1.2241096275474135,3311.0,7332.75341796875,0.1319375,0.00011908058020361397,7.660045475583307e-05,4.2480126012881614e-05,0.7745417248245154,0.015569282894444566,13.0
2022-04-02,0.490087139845393,3748.0,7332.75341796875,0.1333125,0.00011943921011326093,7.510159758848182e-05,4.560526264301781e-05,0.7573928458513388,0.03206143108898213,13.0
2022-04-18,0.1255375966268133,3680.0,7332.75341796875,0.135,0.0001083823952489813,5.927613629399544e-05,5.116950849374826e-05,1.0675160269349402,0.07625396321644205,13.0
2022-05-04,-0.30378215038651035,3572.0,7332.75341796875,0.131375,0.00012375673979281757,7.110390967307042e-05,5.265283003974158e-05,0.9925589964965783,0.009705904234797927,13.0
2022-05-20,-0.7446577652846003,3947.0,7332.75341796875,0.134625,0.000115615881201654,6.726960614727667e-05,5.323660925823553e-05,0.8766463044966922,0.07411333822224098,13.0
2022-06-05,-0.8625439212930814,3752.0,7332.75341796875,0.135875,0.0001202187582954541,7.256013456322024e-05,5.2512636934715434e-05,1.0397730935311482,0.15894716671021203,13.0
2022-06-21,1.81456078706956,4811.0,7332.75341796875,0.13933333333333334,0.00010611059728940415,5.885060597306907e-05,5.0499939465459784e-05,-0.3553257392104147,0.33480574932912127,13.0
2022-07-07,-0.5743209876543318,5235.0,7332.75341796875,0.1272975,0.00010342292936152255,5.9776039008151796e-05,4.805426743680628e-05,-0.5699854612705236,0.38695676410282065,13.0
2022-07-23,2.5277723120168503,4672.0,7332.75341796875,0.1305,8.371663702333656e-05,3.91250543191566e-05,4.599106281704831e-05,-0.9459797707365032,0.3889873241699229,13.0
2022-08-08,1.1719339423752366,5318.0,7332.75341796875,0.1363,9.527734716763744e-05,4.800012848109829e-05,4.534275056809381e-05,-0.5398791810776646,0.307174705447324,13.0
2022-08-24,1.517439212930423,5084.0,7332.75341796875,0.12725305555555555,9.68068777086732e-05,5.261181326638022e-05,4.617997410972332e-05,-0.5600034672930614,0.2317848169383684,13.0
